3745487361.78771	1.000	0.0000000002	4791566842.35745	
3745487361.79371	1.000	0.0000000002	4795013186.28626	
3745487361.79969	1.000	0.0000000002	4834421078.07590	
3745487361.80551	1.000	0.0000000002	4850836769.34271	
3745487361.81166	1.000	0.0000000002	4884004884.00488	
3745487361.81765	1.000	0.0000000002	4847309743.09258	
3745487361.82362	1.000	0.0000000002	4874482086.27833	
3745487361.82946	1.000	0.0000000002	4921259842.51968	
3745487361.83560	1.000	0.0000000002	4971414367.38752	
3745487361.84141	1.000	0.0000000002	4921259842.51968	
3745487361.84741	1.000	0.0000000002	4954173891.50359	
3745487361.85354	1.000	0.0000000002	5017561465.12795	
3745487361.85936	1.000	0.0000000002	4971414367.38752	
3745487361.86534	1.000	0.0000000002	4934616333.58006	
3745487361.87133	1.000	0.0000000002	4966476285.07574	
3745487361.87731	1.000	0.0000000002	5103342689.46160	
3745487361.88330	1.000	0.0000000002	5120327700.97286	
3745487361.88929	1.000	0.0000000002	5124263387.13810	
3745487361.89527	1.000	0.0000000002	5098139179.19959	
3745487361.90125	1.000	0.0000000002	5080010160.02032	
3745487361.90625	1.000	0.0000000002	5064573309.69866	
3745487361.91322	1.000	0.0000000002	5148005148.00515	
3745487361.91922	1.000	0.0000000002	5173305742.36937	
3745487361.92519	1.000	0.0000000002	5148005148.00515	
3745487361.93119	1.000	0.0000000002	5170630816.95967	
3745487361.93716	1.000	0.0000000002	5189413596.26362	
3745487361.94316	1.000	0.0000000002	5247966413.01496	
3745487361.94914	1.000	0.0000000002	5303632988.59719	
3745487361.95511	1.000	0.0000000002	5296610169.49152	
3745487361.96109	1.000	0.0000000002	5288207297.72607	
3745487361.96707	1.000	0.0000000002	5326231691.07856	
3745487361.97307	1.000	0.0000000002	5349023803.15592	
3745487361.97905	1.000	0.0000000002	5376344086.02151	
3745487361.98505	1.000	0.0000000002	5393743257.82093	
3745487361.99101	1.000	0.0000000002	5462988254.57525	
3745487361.99699	1.000	0.0000000002	5482456140.35088	
3745487362.00298	1.000	0.0000000002	5436259853.22098	
3745487362.00897	1.000	0.0000000002	5412719891.74560	
3745487362.01508	1.000	0.0000000002	5462988254.57525	
3745487362.02193	1.000	0.0000000002	5479452054.79452	
3745487362.02914	1.000	0.0000000002	5558643690.93941	
3745487362.03615	1.000	0.0000000002	5588153115.39536	
3745487362.04309	1.000	0.0000000002	5603810591.20202	
3745487362.05013	1.000	0.0000000002	5660911406.73648	
3745487362.05718	1.000	0.0000000002	5701254275.94071	
3745487362.06413	1.000	0.0000000002	5691519635.74274	
3745487362.07108	1.000	0.0000000002	5701254275.94071	
