3745487996.19609	-20.000	-0.0000004259	46964893.74193	
3745487996.24695	-20.000	-0.0000005270	37947063.84593	
3745487996.25791	-20.000	-0.0000006929	28862111.26344	
3745487996.26589	-20.000	-0.0000004676	42771599.65783	
3745487996.27187	-20.000	-0.0000004855	41194644.69619	
3745487996.27887	-20.000	-0.0000005005	39964032.37087	
3745487996.28584	-20.000	-0.0000005247	38117019.24909	
3745487996.29282	-20.000	-0.0000005881	34007821.79901	
3745487996.29984	-20.000	-0.0000004889	40908161.17816	
3745487996.30581	-20.000	-0.0000004572	43739748.49645	
3745487996.31276	-20.000	-0.0000005394	37074798.40578	
3745487996.31775	-20.000	-0.0000005474	36536353.67190	
3745487996.32274	-20.000	-0.0000004884	40950040.95004	
3745487996.32872	-20.000	-0.0000006152	32507110.93052	
3745487996.33471	-20.000	-0.0000005065	39490571.62602	
3745487996.33969	-20.000	-0.0000005147	38857586.94385	
3745487996.34568	-20.000	-0.0000006715	29781847.96367	
3745487996.35166	-20.000	-0.0000006182	32349373.23089	
3745487996.35665	-20.000	-0.0000005389	37112636.85285	
3745487996.36263	-20.000	-0.0000004808	41597337.77038	
3745487996.36863	-20.000	-0.0000005215	38354588.16761	
3745487996.37360	-20.000	-0.0000005717	34980323.56799	
3745487996.37960	-20.000	-0.0000004920	40650406.50407	
3745487996.40256	-19.500	-0.0000008041	24250715.08519	
3745487996.45063	-19.500	-0.0000006417	30390399.75064	
3745487996.45837	-19.500	-0.0000004885	39914031.31716	
3745487996.46662	-19.500	-0.0000005674	34364261.16838	
3745487996.48958	-19.500	-0.0000005199	37507212.92556	
3745487996.53946	-19.500	-0.0000005290	36865488.23140	
3745487996.54666	-19.500	-0.0000005552	35119315.62359	
3745487996.55360	-19.500	-0.0000004797	40650406.50407	
3745487996.56141	-19.500	-0.0000005901	33042446.83555	
3745487996.56850	-19.500	-0.0000005992	32546106.98490	
3745487996.57567	-19.500	-0.0000006538	29825634.75069	
3745487996.58267	-19.500	-0.0000008299	23496806.84420	
3745487996.60865	-19.500	-0.0000004817	40481627.56903	
3745487996.67442	-19.000	-0.0000005362	35437843.88697	
3745487996.72300	-19.000	-0.0000005215	36433365.29243	
3745487996.72996	-19.000	-0.0000004681	40589617.60308	
3745487996.73694	-19.000	-0.0000005742	33089515.84814	
3745487996.74328	-19.000	-0.0000004618	41147807.25501	
3745487996.74991	-19.000	-0.0000004704	40386863.64119	
3745487996.75689	-19.000	-0.0000005068	37490134.17522	
3745487996.76389	-19.000	-0.0000004965	38267875.12588	
3745487996.76916	-19.000	-0.0000005213	36447343.18051	
3745487996.77584	-19.000	-0.0000005248	36204268.29268	
3745487996.78183	-19.000	-0.0000005253	36169807.72892	
3745487996.78782	-19.000	-0.0000005021	37844836.17170	
3745487996.79296	-19.000	-0.0000005539	34302220.61744	
3745487996.79977	-19.000	-0.0000005766	32954644.00312	
3745487996.80575	-19.000	-0.0000004604	41268462.20678	
3745487996.81175	-19.000	-0.0000005080	37401574.80315	
3745487996.81773	-19.000	-0.0000004494	42273890.31038	
3745487996.82273	-19.000	-0.0000005127	37055095.07557	
3745487996.82872	-19.000	-0.0000005865	32398328.92830	
3745487996.83368	-19.000	-0.0000006051	31402363.44104	
3745487996.83869	-19.000	-0.0000005115	37142019.35295	
3745487996.84465	-19.000	-0.0000004415	43035107.58777	
3745487996.85064	-19.000	-0.0000005125	37073170.73171	
3745487996.85562	-19.000	-0.0000005745	33069358.62849	
3745487996.87956	-18.500	-0.0000004674	39584893.54873	
3745487996.92743	-18.500	-0.0000004740	39029535.86498	
3745487996.93345	-18.500	-0.0000005178	35728080.33990	
3745487996.93844	-18.500	-0.0000005258	35184480.79118	
3745487996.94339	-18.500	-0.0000005497	33654720.75678	
3745487996.94941	-18.500	-0.0000006512	28409090.90909	
3745487996.95535	-18.500	-0.0000006437	28740096.31816	
3745487996.96135	-18.500	-0.0000006957	26591921.80538	
3745487996.96732	-18.500	-0.0000005634	32836350.72772	
3745487996.97333	-18.500	-0.0000005280	35037878.78788	
3745487996.97930	-18.500	-0.0000004071	45437799.33685	
3745487996.98428	-18.500	-0.0000004677	39555270.47253	
3745487996.98926	-18.500	-0.0000005623	32900586.87533	
3745487996.99525	-18.500	-0.0000004285	43178900.68853	
3745487997.00023	-18.500	-0.0000005279	35041197.08306	
3745487997.00622	-18.500	-0.0000004555	40619167.85597	
3745487997.01220	-18.500	-0.0000004246	43565289.06158	
3745487997.01819	-18.500	-0.0000003845	48108178.39033	
3745487997.02317	-18.500	-0.0000004020	46019900.49751	
3745487997.02916	-18.500	-0.0000003895	47490694.39096	
3745487997.03414	-18.500	-0.0000004458	41493775.93361	
3745487997.03913	-18.500	-0.0000004389	42150831.62452	
3745487997.04511	-18.500	-0.0000005460	33882783.88278	
3745487997.05110	-18.500	-0.0000004353	42494544.61927	
3745487997.05708	-18.500	-0.0000004006	46174965.68077	
3745487997.06306	-18.500	-0.0000003935	47019951.70924	
3745487997.08600	-18.000	-0.0000005112	35207823.96088	
3745487997.13388	-18.000	-0.0000004179	43072505.38406	
3745487997.13986	-18.000	-0.0000003922	45889101.33843	
3745487997.14584	-18.000	-0.0000003222	55865921.78771	
3745487997.15083	-18.000	-0.0000003315	54290453.92852	
3745487997.15582	-18.000	-0.0000003497	51480051.48005	
3745487997.16180	-18.000	-0.0000003230	55727554.17957	
3745487997.16779	-18.000	-0.0000003307	54438227.73325	
3745487997.17277	-18.000	-0.0000003191	56408649.32623	
3745487997.17876	-18.000	-0.0000003444	52264808.36237	
