3745487339.49222	1.000	0.0000000005	2074258452.60319
3745487339.59108	1.000	0.0000000005	2095777009.32621	
3745487339.60209	1.000	0.0000000005	2163565556.03635	
3745487339.61284	1.000	0.0000000004	2231395738.03414	
3745487339.61883	1.000	0.0000000004	2242655303.87979	
3745487339.62481	1.000	0.0000000004	2261675901.84327	
3745487339.63083	1.000	0.0000000004	2298586369.38283	
3745487339.64775	1.000	0.0000000004	2391200382.59206	
3745487339.65772	1.000	0.0000000004	2435460301.99708	
3745487339.66670	1.000	0.0000000004	2479543763.94743	
3745487339.67268	1.000	0.0000000004	2496567220.07240	
3745487339.67867	1.000	0.0000000004	2534854245.88086	
3745487339.68465	1.000	0.0000000004	2578316359.41730	
3745487339.69063	1.000	0.0000000004	2599090318.38856	
3745487339.69662	1.000	0.0000000004	2613012803.76274	
3745487339.70260	1.000	0.0000000004	2639218791.23779	
3745487339.70859	1.000	0.0000000004	2663825253.06340	
3745487339.71457	1.000	0.0000000004	2715915263.44378	
3745487339.72055	1.000	0.0000000004	2743860611.88092	
3745487339.72654	1.000	0.0000000004	2775079783.54378	
3745487339.73352	1.000	0.0000000004	2812543945.99916	
3745487339.74549	1.000	0.0000000004	2833663927.45820	
3745487339.75247	1.000	0.0000000004	2844950213.37127	
3745487339.76444	1.000	0.0000000003	2916302128.90055	
3745487339.77142	1.000	0.0000000003	2965159377.31653	
3745487339.78139	1.000	0.0000000003	2983293556.08592	
3745487339.79535	1.000	0.0000000003	3028467595.39673	
3745487339.80234	1.000	0.0000000003	3102699348.43314	
3745487339.81231	1.000	0.0000000003	3142183817.75334	
3745487339.81930	1.000	0.0000000003	3155071777.88295	
3745487339.82627	1.000	0.0000000003	3176115610.60823	
3745487339.83225	1.000	0.0000000003	3197953309.88168	
3745487339.83824	1.000	0.0000000003	3239915762.19018	
3745487339.84522	1.000	0.0000000003	3266906239.79092	
3745487339.85120	1.000	0.0000000003	3293807641.63373	
3745487339.86118	1.000	0.0000000003	3310162197.94770	
3745487339.86816	1.000	0.0000000003	3328340822.10018	
3745487339.87414	1.000	0.0000000003	3314001657.00083	
3745487339.88212	1.000	0.0000000003	3370975897.52233	
3745487339.88811	1.000	0.0000000003	3396739130.43478	
3745487339.89409	1.000	0.0000000003	3483713638.73890	
3745487339.90008	1.000	0.0000000003	3513086246.26735	
3745487339.90606	1.000	0.0000000003	3527336860.67019	
3745487339.91204	1.000	0.0000000003	3516174402.25035	
3745487339.91803	1.000	0.0000000003	3542330853.70174	
3745487339.92401	1.000	0.0000000003	3584871840.83169	
3745487339.92999	1.000	0.0000000003	3615328994.93854	
3745487339.93498	1.000	0.0000000003	3626473254.75975	
3745487339.94196	1.000	0.0000000003	3638348189.92178	
3745487339.94895	1.000	0.0000000003	3662332906.06116	
3745487339.95493	1.000	0.0000000003	3710575139.14657	
3745487339.96091	1.000	0.0000000003	3703017959.63710	
3745487339.96689	1.000	0.0000000003	3703017959.63710	
3745487339.97288	1.000	0.0000000003	3729256013.42532	
3745487339.97888	1.000	0.0000000003	3656307129.79890	
3745487339.98385	1.000	0.0000000003	3606202668.58997	
3745487339.98983	1.000	0.0000000003	3603603603.60360	
3745487339.99583	1.000	0.0000000003	3640997633.35154	
3745487340.00180	1.000	0.0000000003	3674444240.30865	
3745487340.01377	1.000	0.0000000003	3741814780.16838	
3745487340.02075	1.000	0.0000000003	3783579265.98562	
3745487340.02674	1.000	0.0000000003	3818251240.93165	
3745487340.03272	1.000	0.0000000003	3854307188.28291	
3745487340.03871	1.000	0.0000000003	3850596842.51059	
3745487340.04469	1.000	0.0000000003	3862495171.88103	
3745487340.04967	1.000	0.0000000003	3881234232.48593	
3745487340.05466	1.000	0.0000000003	3940110323.08905	
3745487340.06065	1.000	0.0000000003	3936233024.99508	
3745487340.06663	1.000	0.0000000003	3975352812.56211	
3745487340.07161	1.000	0.0000000003	3969041476.48343	
3745487340.07760	1.000	0.0000000003	3982477100.75667	
3745487340.08260	1.000	0.0000000002	4053506282.93474	
3745487340.08757	1.000	0.0000000002	4056795131.84584	
3745487340.09360	1.000	0.0000000002	4083299305.83912	
3745487340.09960	1.000	0.0000000002	4086636697.99755	
3745487340.10453	1.000	0.0000000002	4107619634.42185	
3745487340.11054	1.000	0.0000000002	4102564102.56410	
3745487340.11550	1.000	0.0000000002	4194630872.48322	
3745487340.12547	1.000	0.0000000002	4237288135.59322	
3745487340.13745	1.000	0.0000000002	4214075010.53519	
3745487340.15142	1.000	0.0000000002	4303851947.49301	
3745487340.16637	1.000	0.0000000002	4302925989.67298	
3745487340.18034	1.000	0.0000000002	4414036636.50408	
3745487340.19130	1.000	0.0000000002	4470272686.63389	
3745487340.20327	1.000	0.0000000002	4450378282.15398	
3745487340.21525	1.000	0.0000000002	4541326067.21163	
3745487340.22521	1.000	0.0000000002	4515692029.80357	
3745487340.23119	1.000	0.0000000002	4528985507.24638	
3745487340.23717	1.000	0.0000000002	4639294827.18627	
3745487340.24515	1.000	0.0000000002	4660918200.88557	
3745487340.25117	1.000	0.0000000002	4680552305.17201	
3745487340.25813	1.000	0.0000000002	4687133817.67050	
3745487340.26810	1.000	0.0000000002	4682744088.03559	
