3745488425.638427	-20.000000	-1.849500E-7	108137334.414707
3745488425.690243	-20.000000	-1.868000E-7	107066381.156317
3745488425.697970	-20.000000	-1.936500E-7	103279111.799639
3745488425.704087	-20.000000	-1.948000E-7	102669404.517454
3745488425.711034	-20.000000	-1.962000E-7	101936799.184506
3745488425.717912	-20.000000	-1.947500E-7	102695763.799743
3745488425.724039	-20.000000	-2.011000E-7	99453008.453506
3745488425.729919	-20.000000	-2.041000E-7	97991180.793729
3745488425.736038	-20.000000	-2.051000E-7	97513408.093613
3745488425.742216	-20.000000	-2.088000E-7	95785440.613027
3745488425.750232	-20.000000	-2.121000E-7	94295143.800094
3745488425.756135	-20.000000	-2.101000E-7	95192765.349833
3745488425.761849	-20.000000	-2.132000E-7	93808630.393996
3745488425.768098	-20.000000	-2.145500E-7	93218364.017711
3745488425.774763	-20.000000	-2.150000E-7	93023255.813953
3745488425.781043	-20.000000	-2.179500E-7	91764166.093141
3745488425.787728	-20.000000	-2.190000E-7	91324200.913242
3745488425.793711	-20.000000	-2.177500E-7	91848450.057405
3745488425.799983	-20.000000	-2.142000E-7	93370681.605976
3745488425.806679	-20.000000	-2.191000E-7	91282519.397535
3745488425.812864	-20.000000	-2.298500E-7	87013269.523602
3745488425.819651	-20.000000	-2.483000E-7	80547724.526782
3745488425.841918	-19.500000	-2.143000E-7	90993933.737751
3745488425.890493	-19.500000	-2.337500E-7	83422459.893048
3745488425.897735	-19.500000	-2.312000E-7	84342560.553633
3745488425.904475	-19.500000	-2.269500E-7	85922009.253139
3745488425.911395	-19.500000	-2.286000E-7	85301837.270341
3745488425.917441	-19.500000	-2.313000E-7	84306095.979248
3745488425.923371	-19.500000	-2.276500E-7	85657808.038656
3745488425.930350	-19.500000	-2.295000E-7	84967320.261438
3745488425.937325	-19.500000	-2.220000E-7	87837837.837838
3745488425.943317	-19.500000	-2.214500E-7	88055994.581170
3745488425.949325	-19.500000	-2.240500E-7	87034144.164249
3745488425.954287	-19.500000	-2.186500E-7	89183626.800823
3745488425.959294	-19.500000	-2.279500E-7	85545075.674490
3745488425.965250	-19.500000	-2.242500E-7	86956521.739130
3745488425.971294	-19.500000	-2.190000E-7	89041095.890411
3745488425.977297	-19.500000	-2.218500E-7	87897227.856660
3745488425.983294	-19.500000	-2.195500E-7	88818036.893646
3745488425.989493	-19.500000	-2.216000E-7	87996389.891697
3745488425.996233	-19.500000	-2.230000E-7	87443946.188341
3745488426.002323	-19.500000	-2.310500E-7	84397316.598139
3745488426.009447	-19.500000	-2.303500E-7	84653787.714348
3745488426.017339	-19.500000	-2.592000E-7	75231481.481481
3745488426.023448	-19.500000	-2.371500E-7	82226438.962682
3745488426.047458	-19.000000	-2.146500E-7	88516189.145120
3745488426.095027	-19.000000	-2.235500E-7	84992171.773652
3745488426.101272	-19.000000	-2.052500E-7	92570036.540804
3745488426.107138	-19.000000	-2.224000E-7	85431654.676259
3745488426.113262	-19.000000	-2.110000E-7	90047393.364929
3745488426.119196	-19.000000	-2.151500E-7	88310481.059726
3745488426.125208	-19.000000	-2.191000E-7	86718393.427659
3745488426.130902	-19.000000	-2.372000E-7	80101180.438449
3745488426.137179	-19.000000	-2.256500E-7	84201196.543319
3745488426.142869	-19.000000	-3.006500E-7	63196407.783137
3745488426.149154	-19.000000	-2.067500E-7	91898428.053204
3745488426.155031	-19.000000	-2.116500E-7	89770848.098275
3745488426.161126	-19.000000	-2.081500E-7	91280326.687485
3745488426.168159	-19.000000	-2.000000E-7	95000000.000000
3745488426.175148	-19.000000	-2.039000E-7	93182932.810201
3745488426.180768	-19.000000	-2.018500E-7	94129303.938568
3745488426.188109	-19.000000	-2.068000E-7	91876208.897485
3745488426.193734	-19.000000	-2.058500E-7	92300218.605781
3745488426.201023	-19.000000	-2.039000E-7	93182932.810201
3745488426.207697	-19.000000	-2.049500E-7	92705537.936082
3745488426.214679	-19.000000	-2.291000E-7	82933216.935836
3745488426.219664	-19.000000	-2.117000E-7	89749645.725083
3745488426.227657	-19.000000	-2.197500E-7	86461888.509670
3745488426.251586	-18.500000	-1.955000E-7	94629156.010230
3745488426.299452	-18.500000	-1.910500E-7	96833289.714734
3745488426.305439	-18.500000	-2.040000E-7	90686274.509804
3745488426.311469	-18.500000	-2.051000E-7	90199902.486592
3745488426.318439	-18.500000	-1.945000E-7	95115681.233933
3745488426.324478	-18.500000	-1.898000E-7	97471022.128556
3745488426.331367	-18.500000	-1.912500E-7	96732026.143791
3745488426.337491	-18.500000	-1.818500E-7	101732196.865549
3745488426.344454	-18.500000	-1.841000E-7	100488864.747420
3745488426.351495	-18.500000	-1.840000E-7	100543478.260870
3745488426.358447	-18.500000	-1.904500E-7	97138356.524022
3745488426.364433	-18.500000	-1.974000E-7	93718338.399189
3745488426.371464	-18.500000	-1.844500E-7	100298183.789645
3745488426.378240	-18.500000	-1.899000E-7	97419694.576093
3745488426.384335	-18.500000	-1.868500E-7	99009900.990099
3745488426.389211	-18.500000	-1.811500E-7	102125310.516147
3745488426.394374	-18.500000	-1.851500E-7	99918984.607075
3745488426.400196	-18.500000	-1.877500E-7	98535286.284953
3745488426.405375	-18.500000	-1.961500E-7	94315574.815192
3745488426.411151	-18.500000	-2.064000E-7	89631782.945736
3745488426.417323	-18.500000	-2.112000E-7	87594696.969697
3745488426.423318	-18.500000	-2.212500E-7	83615819.209040
3745488426.429272	-18.500000	-2.537000E-7	72920772.566023
3745488426.435257	-18.500000	-2.041500E-7	90619642.419789
3745488426.458351	-18.000000	-1.756500E-7	102476515.798463
