3745487381.79820	1.000	0.0000000006	1743375174.33752
3745487381.89687	1.000	0.0000000006	1776672292.79559	
3745487381.90285	1.000	0.0000000006	1801964140.91360	
3745487381.90983	1.000	0.0000000005	1825317148.85461	
3745487381.91582	1.000	0.0000000005	1849454410.94877	
3745487381.92180	1.000	0.0000000005	1882707333.14506	
3745487381.92878	1.000	0.0000000005	1902949571.83635	
3745487381.93676	1.000	0.0000000005	1934797329.97968	
3745487381.94275	1.000	0.0000000005	1956181533.64632	
3745487381.94873	1.000	0.0000000005	1974333662.38894	
3745487381.95771	1.000	0.0000000005	2024906348.08140	
3745487381.96568	1.000	0.0000000005	2049810392.53869	
3745487381.97167	1.000	0.0000000005	2090956612.65029	
3745487381.97965	1.000	0.0000000005	2106815548.29875	
3745487381.98563	1.000	0.0000000005	2124495432.33482	
3745487381.99261	1.000	0.0000000005	2146613716.86165	
3745487381.99860	1.000	0.0000000005	2169432693.35069	
3745487382.00458	1.000	0.0000000005	2188183807.43983	
3745487382.01256	1.000	0.0000000004	2224199288.25623	
3745487382.01954	1.000	0.0000000004	2238889510.80264	
3745487382.02553	1.000	0.0000000004	2244668911.33558	
3745487382.03151	1.000	0.0000000004	2263723825.69327	
3745487382.03650	1.000	0.0000000004	2285453091.07531	
3745487382.04149	1.000	0.0000000004	2290688351.84973	
3745487382.04647	1.000	0.0000000004	2317765673.89037	
3745487382.05251	1.000	0.0000000004	2352941176.47059	
3745487382.05744	1.000	0.0000000004	2351281448.38937	
3745487382.06346	1.000	0.0000000004	2370791844.47606	
3745487382.06841	1.000	0.0000000004	2386350077.55638	
3745487382.07439	1.000	0.0000000004	2416042522.34839	
3745487382.08038	1.000	0.0000000004	2450379808.87037	
3745487382.08636	1.000	0.0000000004	2463357556.34930	
3745487382.09237	1.000	0.0000000004	2484780718.10163	
3745487382.09833	1.000	0.0000000004	2498438475.95253	
3745487382.10431	1.000	0.0000000004	2523340903.35604	
3745487382.11150	1.000	0.0000000004	2558853633.57216	
3745487382.11928	1.000	0.0000000004	2563773875.14421	
3745487382.12627	1.000	0.0000000004	2576323586.24243	
3745487382.13325	1.000	0.0000000004	2614379084.96732	
3745487382.14022	1.000	0.0000000004	2636783124.58800	
3745487382.14621	1.000	0.0000000004	2651816494.29859	
3745487382.15221	1.000	0.0000000004	2665245202.55864	
3745487382.15920	1.000	0.0000000004	2699055330.63428	
3745487382.16615	1.000	0.0000000004	2726653033.40150	
3745487382.17213	1.000	0.0000000004	2745744096.65019	
3745487382.17812	1.000	0.0000000004	2752167331.77377	
3745487382.18410	1.000	0.0000000004	2764722145.42439	
3745487382.19008	1.000	0.0000000004	2782802281.89787	
3745487382.19607	1.000	0.0000000004	2812939521.80028	
3745487382.20205	1.000	0.0000000004	2830856334.04105	
3745487382.20807	1.000	0.0000000004	2820476660.55563	
3745487382.21402	1.000	0.0000000004	2838087129.27487	
3745487382.22001	1.000	0.0000000004	2855103497.50178	
3745487382.22599	1.000	0.0000000003	2889338341.51979	
3745487382.23198	1.000	0.0000000003	2912479976.70016	
3745487382.23798	1.000	0.0000000003	2952465308.53262	
3745487382.24398	1.000	0.0000000003	2984183825.72366	
3745487382.24998	1.000	0.0000000003	2985965959.98806	
3745487382.25591	1.000	0.0000000003	2986411826.19083	
3745487382.26197	1.000	0.0000000003	3013863773.35744	
3745487382.26794	1.000	0.0000000003	3025718608.16944	
3745487382.27386	1.000	0.0000000003	3061849357.01164	
3745487382.27994	1.000	0.0000000003	3099333643.26670	
3745487382.28597	1.000	0.0000000003	3105590062.11180	
3745487382.29198	1.000	0.0000000003	3093102381.68883	
3745487382.29798	1.000	0.0000000003	3100775193.79845	
3745487382.30393	1.000	0.0000000003	3127932436.65937	
3745487382.30994	1.000	0.0000000003	3158559696.77827	
3745487382.31590	1.000	0.0000000003	3188267176.78941	
3745487382.32203	1.000	0.0000000003	3204101249.59949	
3745487382.32800	1.000	0.0000000003	3211819495.74434	
3745487382.33501	1.000	0.0000000003	3238341968.91192	
3745487382.34204	1.000	0.0000000003	3250975292.58778	
3745487382.34902	1.000	0.0000000003	3276003276.00328	
3745487382.35585	1.000	0.0000000003	3291097581.04328	
3745487382.36299	1.000	0.0000000003	3331667499.58354	
3745487382.36861	1.000	0.0000000003	3332222592.46918	
3745487382.37474	1.000	0.0000000003	3368704733.03015	
3745487382.38073	1.000	0.0000000003	3392130257.80190	
3745487382.38671	1.000	0.0000000003	3408316291.75187	
3745487382.39270	1.000	0.0000000003	3429355281.20713	
3745487382.39868	1.000	0.0000000003	3432887058.01579	
3745487382.40452	1.000	0.0000000003	3465603881.47635	
3745487382.41049	1.000	0.0000000003	3459609064.17575	
3745487382.41678	1.000	0.0000000003	3483106931.38279	
3745487382.42446	1.000	0.0000000003	3533568904.59364	
3745487382.43075	1.000	0.0000000003	3535442814.21248	
3745487382.43770	1.000	0.0000000003	3549875754.34860	
3745487382.44540	1.000	0.0000000003	3583587170.75793	
3745487382.45039	1.000	0.0000000003	3617290649.30367	
3745487382.45637	1.000	0.0000000003	3602954422.62655	
3745487382.46335	1.000	0.0000000003	3626473254.75975	
3745487382.46836	1.000	0.0000000003	3631741420.01090	
3745487382.47448	1.000	0.0000000003	3676470588.23529	
3745487382.48130	1.000	0.0000000003	3714710252.60030	
3745487382.48729	1.000	0.0000000003	3714710252.60030	
3745487382.49327	1.000	0.0000000003	3707136237.25672	
3745487382.49926	1.000	0.0000000003	3714710252.60030	
3745487382.50524	1.000	0.0000000003	3758691975.19263	
3745487382.51024	1.000	0.0000000003	3780003780.00378	
3745487382.51721	1.000	0.0000000003	3849855630.41386	
3745487382.52236	1.000	0.0000000003	3878975950.34911	
3745487382.52918	1.000	0.0000000003	3848374061.95882	
3745487382.53516	1.000	0.0000000003	3848374061.95882	
3745487382.54114	1.000	0.0000000003	3848374061.95882	
3745487382.54715	1.000	0.0000000003	3849855630.41386	
3745487382.55311	1.000	0.0000000003	3878223773.51173	
3745487382.55910	1.000	0.0000000003	3890293717.17565	
3745487382.56508	1.000	0.0000000003	3961965134.70681	
3745487382.57107	1.000	0.0000000003	3972194637.53724	
3745487382.57705	1.000	0.0000000003	3940886699.50739	
3745487382.58204	1.000	0.0000000003	3952569169.96047	
3745487382.58908	1.000	0.0000000002	4003202562.04964	
3745487382.59500	1.000	0.0000000002	4045307443.36570	
3745487382.60099	1.000	0.0000000002	4045307443.36570	
3745487382.60697	1.000	0.0000000002	4073319755.60081	
3745487382.61298	1.000	0.0000000002	4074149521.28743	
3745487382.61898	1.000	0.0000000002	4065867046.14759	
3745487382.62498	1.000	0.0000000002	4103405826.83627	
3745487382.63097	1.000	0.0000000002	4081632653.06122	
3745487382.63694	1.000	0.0000000002	4089143324.47352	
3745487382.64289	1.000	0.0000000002	4100041000.41000	
3745487382.64898	1.000	0.0000000002	4138216428.71922	
3745487382.65497	1.000	0.0000000002	4164064126.58755	
3745487382.66098	1.000	0.0000000002	4182350480.97031	
3745487382.66698	1.000	0.0000000002	4207868714.49611	
3745487382.67279	1.000	0.0000000002	4179728317.65935	
3745487382.67893	1.000	0.0000000002	4216740459.62471	
3745487382.68492	1.000	0.0000000002	4243581582.85593	
3745487382.69092	1.000	0.0000000002	4249893752.65618	
3745487382.69689	1.000	0.0000000002	4291845493.56223	
3745487382.70287	1.000	0.0000000002	4329004329.00433	
3745487382.70886	1.000	0.0000000002	4356349379.22021	
3745487382.71484	1.000	0.0000000002	4403346543.37296	
3745487382.72083	1.000	0.0000000002	4410143329.65821	
3745487382.72693	1.000	0.0000000002	4390779363.33699	
3745487382.73379	1.000	0.0000000002	4417936823.50342	
3745487382.73963	1.000	0.0000000002	4449388209.12125	
3745487382.74577	1.000	0.0000000002	4492362982.92902	
3745487382.75158	1.000	0.0000000002	4494382022.47191	
3745487382.75856	1.000	0.0000000002	4466279589.10228	
3745487382.76455	1.000	0.0000000002	4495392222.97145	
3745487382.77191	1.000	0.0000000002	4539264639.12846	
3745487382.77884	1.000	0.0000000002	4557885141.29444	
3745487382.78585	1.000	0.0000000002	4592422502.87026	
3745487382.79281	1.000	0.0000000002	4611482591.65322	
3745487382.79980	1.000	0.0000000002	4610419548.17888	
3745487382.80743	1.000	0.0000000002	4636068613.81549	
3745487382.81377	1.000	0.0000000002	4645760743.32172	
3745487382.82075	1.000	0.0000000002	4618937644.34180	
3745487382.82838	1.000	0.0000000002	4710315591.14461	
3745487382.83536	1.000	0.0000000002	4731488052.99267	
3745487382.84234	1.000	0.0000000002	4746084480.30375	
3745487382.84848	1.000	0.0000000002	4795013186.28626	
3745487382.85530	1.000	0.0000000002	4847309743.09258	
3745487382.86029	1.000	0.0000000002	4842615012.10654	
3745487382.86657	1.000	0.0000000002	4876859302.60912	
3745487382.87426	1.000	0.0000000002	4886391399.95114	
3745487382.88124	1.000	0.0000000002	4893564962.07487	
3745487382.88822	1.000	0.0000000002	4961548002.97693	
3745487382.89523	1.000	0.0000000002	4941932295.52755	
3745487382.90220	1.000	0.0000000002	4917629702.48340	
3745487382.90816	1.000	0.0000000002	4954173891.50359	
3745487382.91417	1.000	0.0000000002	4978839930.29624	
3745487382.92013	1.000	0.0000000002	5016302984.70028	
3745487382.92612	1.000	0.0000000002	5047955577.99091	
3745487382.93210	1.000	0.0000000002	5036514731.80559	
3745487382.93808	1.000	0.0000000002	5045408678.10293	
3745487382.94407	1.000	0.0000000002	5070993914.80730	
3745487382.95007	1.000	0.0000000002	5121638924.45583	
3745487382.95504	1.000	0.0000000002	5126890540.88695	
3745487382.96202	1.000	0.0000000002	5122950819.67213	
3745487382.96800	1.000	0.0000000002	5193456245.13113	
3745487382.97399	1.000	0.0000000002	5201560468.14044	
3745487382.97999	1.000	0.0000000002	5133470225.87269	
3745487382.98599	1.000	0.0000000002	5150656708.73036	
